Date,Sleep Time,Wake Time,Hours,Note
08/27/22,4:16,7:37,3.34,
08/27/22,22:12,2:19,4.1,
08/26/22,22:02,6:43,8.67,
08/25/22,4:51,7:51,3,
08/25/22,16:11,1:47,9.6,
08/24/22,18:34,2:03,7.48,
08/22/22,17:12,22:03,4.85,
08/22/22,3:45,5:57,2.19,
08/21/22,11:50,20:03,8.22,
08/20/22,11:38,18:17,6.65,
08/19/22,15:45,20:28,4.7,
08/19/22,6:17,10:05,3.8,
08/18/22,9:44,15:29,5.74,
08/17/22,4:39,13:57,9.3,
08/16/22,4:54,12:32,7.62,
08/15/22,1:07,9:45,8.63,
08/14/22,2:45,11:48,9.05,
08/13/22,1:56,9:33,7.6,
08/12/22,8:38,9:54,1.26,
08/12/22,1:46,8:38,6.85,
08/11/22,2:06,8:22,6.26,
08/10/22,22:20,6:28,8.13,
08/09/22,3:34,7:47,4.21,
08/09/22,0:45,3:25,2.66,
08/09/22,20:14,0:37,4.38,
08/08/22,19:58,20:08,0.16,
08/08/22,20:50,2:36,5.75,
08/06/22,11:58,21:45,9.77,
08/05/22,18:25,20:12,1.78,
08/05/22,17:23,18:25,1.02,
08/05/22,17:50,0:38,6.79,
08/04/22,10:00,13:10,3.15,
08/04/22,19:18,0:53,5.58,
08/03/22,13:48,14:43,0.91,
08/02/22,8:53,19:13,10.3,
08/01/22,7:36,7:51,0.24,
08/01/22,5:16,7:33,2.27,
07/31/22,5:47,13:43,7.92,
07/30/22,6:03,13:08,7.08,
07/29/22,6:39,12:56,6.28,
07/28/22,2:22,10:59,8.6,
07/27/22,4:20,8:51,4.52,
07/26/22,20:03,6:55,10.8,
07/25/22,0:19,6:07,5.8,
07/24/22,14:05,17:55,3.83,
07/24/22,22:06,7:45,9.65,
07/23/22,19:01,19:07,0.11,
07/23/22,21:43,2:30,4.78,
07/22/22,5:48,7:58,2.16,
07/22/22,18:27,1:25,6.97,
07/21/22,17:33,1:56,8.36,
07/20/22,15:17,2:27,11.1,
07/18/22,11:23,20:03,8.67,
07/17/22,11:38,17:35,5.94,
07/16/22,17:25,21:01,3.59,
07/16/22,9:02,15:18,6.27,
07/15/22,13:52,17:31,3.64,
07/15/22,9:26,13:51,4.41,
07/14/22,13:52,15:28,1.61,
07/14/22,6:31,13:51,7.32,
07/13/22,8:40,14:27,5.77,
07/12/22,9:22,14:22,5,
07/12/22,0:35,7:19,6.73,
07/11/22,2:28,11:30,9.03,
07/10/22,7:05,11:31,4.43,
07/10/22,2:32,7:00,4.46,
07/09/22,23:43,8:24,8.68,
07/08/22,0:27,8:05,7.63,
07/07/22,5:40,9:14,3.56,
07/07/22,23:08,4:05,4.93,
07/06/22,19:48,3:39,7.84,
07/05/22,21:06,0:59,3.88,
07/04/22,13:14,20:55,7.69,
07/04/22,9:29,11:21,1.86,
07/03/22,7:18,11:53,4.58,
07/03/22,6:05,7:16,1.18,
07/02/22,16:17,22:36,6.31,
07/01/22,11:59,19:53,7.89,
06/30/22,10:20,16:42,6.36,
06/29/22,15:42,20:04,4.36,
06/29/22,10:09,13:45,3.6,
06/28/22,14:49,16:45,1.92,
06/28/22,6:05,14:45,8.65,
06/27/22,4:10,15:00,10.8,
06/26/22,9:23,13:43,4.33,
06/26/22,4:50,9:23,4.54,
06/25/22,8:14,12:20,4.09,
06/24/22,7:09,14:48,7.64,
06/24/22,3:43,6:14,2.51,
06/23/22,2:28,11:41,9.22,
06/22/22,3:22,9:34,6.19,
06/21/22,6:47,11:17,4.5,
06/21/22,23:53,6:35,6.7,
06/20/22,2:11,4:56,2.75,
06/20/22,19:07,2:10,7.04,
06/19/22,1:20,7:11,5.83,
06/18/22,16:37,21:35,4.96,
06/18/22,20:34,3:45,7.18,
06/17/22,20:09,20:33,0.4,
06/17/22,0:12,0:32,0.34,
06/17/22,20:46,0:11,3.42,
06/16/22,15:10,20:44,5.57,
06/16/22,19:39,1:12,5.55,
06/15/22,1:25,4:18,2.87,
06/14/22,14:56,21:34,6.63,
06/13/22,16:38,19:58,3.32,
06/13/22,9:21,14:48,5.43,
06/12/22,10:43,17:19,6.58,
06/11/22,17:09,17:35,0.42,
06/11/22,13:32,17:09,3.62,
06/11/22,8:36,13:31,4.92,
06/11/22,5:30,8:30,3,
06/10/22,13:51,18:14,4.38,
06/10/22,4:01,7:05,3.07,
06/09/22,1:14,7:43,6.48,
06/08/22,12:33,16:39,4.1,
06/08/22,6:26,11:10,4.73,
06/07/22,18:00,18:06,0.1,
06/07/22,15:06,18:00,2.89,
06/07/22,3:16,11:44,8.47,
06/06/22,7:33,13:52,6.33,
06/06/22,3:04,7:25,4.33,
06/05/22,6:22,13:10,6.79,
06/04/22,6:45,11:27,4.69,
06/04/22,3:26,6:41,3.25,
06/03/22,14:52,15:14,0.36,
06/03/22,4:57,11:17,6.33,
06/02/22,4:00,10:24,6.41,
06/02/22,1:40,3:55,2.24,
06/01/22,5:00,8:06,3.09,
06/01/22,2:04,5:00,2.93,
06/01/22,1:52,1:55,0.04,
05/31/22,3:21,7:03,3.71,
05/31/22,1:12,3:20,2.13,
05/30/22,2:57,6:32,3.58,
05/30/22,19:04,2:00,6.92,
05/29/22,21:36,6:05,8.48,
05/28/22,21:10,4:53,7.71,
05/27/22,5:15,12:48,7.54,
05/26/22,14:57,22:59,8.03,
05/25/22,13:12,20:23,7.18,
05/24/22,13:13,19:13,5.99,
05/23/22,13:00,17:59,4.98,
05/23/22,9:11,13:00,3.82,
05/18/22,8:47,13:02,4.23,
05/18/22,1:17,8:16,6.98,
05/17/22,2:36,8:42,6.1,
05/16/22,1:08,9:09,8.01,
05/15/22,8:41,13:18,4.61,
05/15/22,7:14,7:16,0.02,
05/15/22,7:09,7:13,0.07,
05/15/22,5:12,6:51,1.65,
05/14/22,8:10,9:35,1.41,
05/14/22,1:27,8:08,6.68,
05/13/22,6:33,8:42,2.15,
05/13/22,0:04,5:35,5.52,
05/12/22,23:26,5:27,6.01,
05/11/22,21:25,23:23,1.96,
05/11/22,22:43,4:38,5.92,
05/10/22,22:27,22:29,0.03,
05/10/22,15:49,0:52,9.03,
05/08/22,13:50,21:26,7.6,
05/07/22,15:01,20:17,5.26,
05/07/22,22:30,3:22,4.86,
05/06/22,12:31,16:05,3.56,
05/06/22,10:24,10:27,0.05,
05/06/22,7:40,10:24,2.74,
05/05/22,8:45,14:52,6.11,
05/04/22,10:30,14:30,4,
05/04/22,6:37,10:14,3.61,
05/04/22,6:15,6:18,0.05,
05/04/22,0:53,4:27,3.55,
05/03/22,7:37,14:13,6.59,
05/02/22,12:53,13:12,0.31,
05/02/22,5:03,12:50,7.78,
05/01/22,7:11,12:17,5.09,
04/30/22,5:45,12:30,6.75,
04/29/22,3:40,11:07,7.44,
04/28/22,23:41,8:30,8.81,
04/27/22,0:08,8:25,8.29,
04/26/22,20:41,6:20,9.64,
04/25/22,20:55,4:53,7.97,
04/24/22,20:21,3:08,6.78,
04/23/22,0:30,7:48,7.3,
04/22/22,14:00,20:20,6.33,
04/21/22,14:34,22:19,7.73,
04/20/22,13:40,19:57,6.28,
04/19/22,17:26,20:07,2.67,
04/19/22,13:54,17:26,3.52,
04/18/22,9:14,16:55,7.67,
04/17/22,7:16,14:56,7.67,
04/16/22,5:33,12:16,6.72,
04/15/22,8:26,12:25,3.98,
04/14/22,9:02,13:12,4.16,
04/14/22,2:14,8:57,6.71,
04/13/22,1:42,10:08,8.42,
04/12/22,10:30,15:15,4.75,
04/12/22,0:51,8:43,7.86,
04/11/22,6:54,8:16,1.36,
04/11/22,23:19,6:54,7.57,
04/10/22,6:12,9:57,3.74,
04/10/22,4:28,5:08,0.66,
04/10/22,20:59,4:27,7.47,
04/09/22,3:48,5:27,1.65,
04/09/22,21:54,3:48,5.9,
04/08/22,7:30,7:37,0.11,
04/08/22,3:52,7:25,3.54,
04/08/22,20:09,3:13,7.07,
04/07/22,16:48,0:47,7.98,
04/05/22,17:56,23:08,5.2,
04/04/22,12:57,21:20,8.38,
04/03/22,11:09,18:14,7.08,
04/02/22,18:16,22:41,4.41,
04/02/22,23:45,4:30,4.75,
04/01/22,16:19,20:40,4.35,
03/31/22,14:53,18:19,3.42,
03/31/22,13:00,14:51,1.85,
03/30/22,5:00,13:56,8.92,
03/29/22,13:05,17:13,4.14,
03/29/22,3:44,9:24,5.66,
03/28/22,13:05,15:32,2.45,
03/28/22,8:24,13:02,4.64,
03/27/22,4:54,13:44,8.82,
03/26/22,3:18,10:30,7.2,
03/25/22,6:08,10:41,4.54,
03/24/22,9:07,12:54,3.79,
03/24/22,2:31,9:06,6.59,
03/22/22,0:11,9:50,9.65,
03/21/22,22:27,5:20,6.87,
03/20/22,20:06,4:32,8.43,
03/19/22,18:55,2:13,7.29,
03/17/22,15:42,23:25,7.72,
03/16/22,19:57,23:08,3.18,
03/16/22,15:19,19:51,4.53,
03/15/22,13:15,20:49,7.56,
03/14/22,10:17,17:54,7.61,
03/13/22,7:46,15:14,7.46,
03/13/22,5:32,7:46,2.23,
03/12/22,12:07,15:50,3.7,
03/12/22,7:02,11:30,4.46,
03/11/22,9:01,15:35,6.57,
03/10/22,3:39,12:20,8.68,
03/09/22,3:06,10:47,7.68,
03/08/22,6:41,13:18,6.62,
03/07/22,5:04,11:21,6.27,
03/06/22,22:13,7:37,9.4,
03/05/22,2:00,6:50,4.83,
03/04/22,1:57,9:19,7.35,
03/03/22,22:04,6:55,8.85,
03/02/22,4:51,7:18,2.44,
03/02/22,2:34,4:44,2.16,
03/02/22,21:18,2:00,4.7,
03/01/22,20:57,2:05,5.12,
02/28/22,6:17,10:40,4.37,
02/27/22,16:39,23:16,6.61,
02/26/22,15:46,22:30,6.73,
02/25/22,21:51,21:51,0,
02/24/22,18:06,18:44,0.63,
02/24/22,11:26,18:05,6.64,
02/23/22,12:17,19:41,7.39,
02/23/22,2:37,2:37,0,
02/22/22,9:59,16:57,6.97,
02/21/22,10:43,17:13,6.5,
02/20/22,4:04,12:27,8.38,
02/19/22,5:33,10:17,4.74,
02/18/22,15:10,16:00,0.83,
02/18/22,7:30,15:08,7.63,
02/17/22,8:40,15:14,6.56,
02/17/22,7:31,8:30,0.98,
02/17/22,1:38,4:22,2.73,
02/16/22,18:06,20:20,2.24,
02/16/22,11:30,13:19,1.81,
02/16/22,22:24,3:27,5.05,
02/15/22,17:13,18:04,0.84,
02/15/22,14:08,17:13,3.08,
02/15/22,6:46,9:39,2.88,
02/14/22,10:28,17:02,6.57,
02/13/22,3:32,13:06,9.56,
02/12/22,10:08,14:22,4.23,
02/11/22,19:06,22:40,3.57,
02/11/22,9:24,9:25,0.02,
02/11/22,2:32,9:22,6.83,
02/10/22,3:37,11:57,8.33,
02/09/22,1:38,11:16,9.62,
02/08/22,8:40,11:59,3.3,
02/08/22,5:00,8:16,3.27,
02/08/22,3:05,5:00,1.91,
02/07/22,0:48,11:36,10.8,
02/06/22,2:17,8:01,5.73,
02/05/22,13:59,15:57,1.96,
02/05/22,23:56,8:03,8.11,
02/04/22,13:04,15:04,2,
02/04/22,1:07,7:45,6.63,
02/03/22,23:10,5:35,6.42,
02/02/22,21:20,5:22,8.02,
02/01/22,20:36,3:52,7.26,
01/31/22,20:15,4:08,7.88,
01/30/22,16:05,2:20,10.2,
01/28/22,19:23,22:35,3.19,
01/28/22,13:17,17:43,4.43,
01/27/22,12:54,21:17,8.38,
01/27/22,6:42,6:51,0.14,
01/27/22,2:42,6:42,4,
01/26/22,13:47,20:45,6.96,
01/26/22,23:21,3:13,3.87,
01/25/22,10:41,18:19,7.63,
01/24/22,10:00,17:00,7,
01/23/22,8:12,17:04,8.86,
01/22/22,16:00,18:20,2.33,
01/22/22,9:49,15:31,5.7,
01/22/22,5:41,9:07,3.43,
01/21/22,15:07,19:17,4.16,
01/21/22,5:36,12:30,6.9,
01/20/22,11:44,16:21,4.62,
01/20/22,4:31,8:47,4.27,
01/19/22,7:31,14:38,7.11,
01/19/22,3:37,7:29,3.85,
01/18/22,20:00,21:36,1.6,
01/18/22,8:35,12:44,4.15,
01/18/22,4:51,8:34,3.72,
01/17/22,6:05,12:17,6.19,
01/16/22,4:03,8:30,4.45,
01/16/22,2:02,4:02,2,
01/15/22,22:19,22:31,0.2,
01/15/22,12:48,18:25,5.62,
01/15/22,12:28,12:47,0.32,
01/15/22,11:26,12:27,1.03,
01/15/22,7:04,10:24,3.33,
01/15/22,5:47,7:03,1.26,
01/14/22,1:38,12:37,10.9,
01/13/22,0:53,8:52,7.98,
01/12/22,0:16,7:49,7.53,
01/11/22,22:54,10:15,11.3,
01/10/22,0:55,9:02,8.11,
01/09/22,4:26,6:37,2.16,
01/09/22,2:33,4:26,1.89,
01/09/22,22:52,2:22,3.5,
01/08/22,23:40,8:23,8.71,
01/07/22,4:04,7:43,3.65,
01/07/22,22:33,3:21,4.8,
01/06/22,20:27,5:40,9.21,
01/05/22,23:38,4:32,4.89,
01/04/22,19:59,21:44,1.74,
01/04/22,2:45,2:51,0.09,
01/04/22,20:41,2:45,6.06,
01/03/22,3:45,6:49,3.06,
01/03/22,19:47,0:19,4.53,
01/02/22,17:05,19:43,2.63,
01/02/22,23:44,3:35,3.85,
01/01/22,13:49,21:04,7.25,
12/31/21,18:19,21:51,3.52,
12/31/21,11:34,17:05,5.51,
12/30/21,16:35,20:28,3.88,
12/30/21,14:28,16:30,2.03,
12/30/21,21:50,1:05,3.25,
12/29/21,12:32,17:35,5.04,
12/28/21,14:18,18:31,4.21,
12/28/21,7:28,14:03,6.58,
12/27/21,12:40,16:31,3.84,
12/26/21,15:06,15:49,0.71,
12/26/21,10:17,15:06,4.81,
12/26/21,5:37,9:49,4.2,
12/25/21,9:07,14:17,5.16,
12/25/21,5:02,8:09,3.12,
12/24/21,12:15,13:42,1.44,
12/24/21,11:31,12:12,0.69,
12/24/21,10:32,11:30,0.96,
12/24/21,9:35,10:31,0.92,
12/24/21,1:33,9:10,7.62,
12/23/21,12:56,13:37,0.67,
12/23/21,10:27,12:55,2.46,
12/23/21,3:50,8:48,4.97,
12/22/21,6:56,12:08,5.18,
12/22/21,2:45,6:50,4.07,
12/21/21,13:09,15:33,2.39,
12/21/21,6:45,13:08,6.38,
12/20/21,6:46,14:52,8.09,
12/19/21,4:20,11:46,7.43,
12/18/21,3:40,11:22,7.69,
12/17/21,11:11,12:15,1.06,
12/17/21,9:09,11:11,2.01,
12/17/21,2:31,8:05,5.56,
12/16/21,1:01,9:11,8.16,
12/15/21,0:58,8:26,7.47,
12/14/21,6:23,10:15,3.87,
12/14/21,23:55,5:35,5.66,
12/13/21,21:55,4:51,6.92,
12/12/21,3:52,4:12,0.33,
12/12/21,23:45,3:51,4.1,
12/11/21,20:04,21:02,0.96,
12/11/21,6:11,9:31,3.34,
12/11/21,18:54,0:08,5.23,
12/10/21,20:41,2:46,6.08,
12/09/21,3:53,4:44,0.85,
12/08/21,17:10,22:52,5.69,
12/08/21,3:56,8:00,4.07,
12/07/21,11:21,18:15,6.91,
12/06/21,8:08,16:12,8.06,
12/05/21,14:53,17:32,2.63,
12/05/21,5:28,12:50,7.36,
12/04/21,18:15,20:25,2.17,
12/03/21,6:22,13:09,6.78,
12/02/21,3:26,10:30,7.06,
12/01/21,3:14,12:45,9.51,
11/30/21,1:56,9:30,7.57,
11/29/21,3:14,9:26,6.19,
11/28/21,22:58,9:22,10.4,
11/27/21,7:03,11:38,4.57,
11/27/21,0:35,6:46,6.17,
11/26/21,1:21,8:30,7.15,
11/25/21,5:31,9:10,3.65,
11/25/21,3:30,5:31,2,
11/25/21,20:51,2:33,5.69,
11/24/21,0:02,3:53,3.85,
11/24/21,21:00,0:01,3.01,
11/23/21,0:26,2:24,1.97,
11/23/21,18:04,0:22,6.3,
11/21/21,14:52,23:43,8.85,
11/21/21,16:47,0:18,7.51,
11/19/21,13:29,21:49,8.33,
11/18/21,18:16,20:31,2.25,
11/18/21,14:43,18:16,3.54,
11/17/21,15:07,21:08,6.03,
11/17/21,12:04,13:50,1.76,
11/17/21,7:54,12:03,4.15,
11/16/21,9:12,14:26,5.23,
11/15/21,15:14,15:22,0.13,
11/15/21,8:52,15:13,6.34,
11/14/21,5:06,12:14,7.13,
11/13/21,11:30,15:52,4.35,
11/13/21,4:34,9:40,5.1,
11/12/21,5:59,11:31,5.52,
11/11/21,9:11,12:43,3.53,
11/11/21,1:50,8:15,6.41,
11/10/21,6:40,9:30,2.83,
11/10/21,0:00,6:39,6.65,
11/09/21,7:37,9:30,1.89,
11/09/21,0:40,6:43,6.04,
11/08/21,0:39,8:32,7.87,
11/07/21,1:33,9:55,8.37,
11/06/21,5:18,10:12,4.9,
11/06/21,2:25,5:13,2.79,
11/05/21,8:00,9:55,1.91,
11/05/21,2:33,7:57,5.39,
11/04/21,8:46,10:42,1.94,
11/04/21,3:43,8:46,5.05,
11/03/21,8:24,10:41,2.28,
11/03/21,2:30,8:24,5.9,
11/02/21,6:29,8:06,1.61,
11/02/21,23:58,6:29,6.52,
11/01/21,23:47,9:23,9.59,
10/31/21,4:41,6:56,2.24,
10/31/21,23:31,4:40,5.15,
10/30/21,12:21,14:55,2.56,
10/30/21,7:15,7:30,0.26,
10/30/21,3:08,7:14,4.1,
10/30/21,22:34,3:00,4.43,
10/29/21,8:00,10:50,2.83,
10/29/21,22:30,6:12,7.7,
10/28/21,2:01,7:03,5.04,
10/28/21,20:00,1:30,5.5,
10/27/21,20:15,2:49,6.56,
10/26/21,10:16,12:31,2.24,
10/26/21,22:39,2:47,4.12,
10/25/21,17:24,22:20,4.93,
10/25/21,17:11,1:23,8.2,
10/24/21,21:45,0:23,2.63,
10/23/21,15:19,21:44,6.41,
10/22/21,18:51,20:33,1.7,
10/22/21,14:13,18:49,4.6,
10/21/21,16:16,18:43,2.46,
10/21/21,12:53,16:15,3.36,
10/21/21,7:04,7:43,0.65,
10/21/21,3:09,7:01,3.87,
10/20/21,16:45,20:18,3.54,
10/19/21,12:41,17:21,4.66,
10/19/21,6:59,9:48,2.81,
10/18/21,11:31,16:35,5.06,
10/18/21,11:22,11:30,0.12,
10/18/21,1:14,3:38,2.4,
10/17/21,8:45,13:43,4.96,
10/17/21,7:20,7:38,0.3,
10/16/21,5:36,14:01,8.42,
10/15/21,3:01,12:00,8.97,
10/14/21,7:30,12:18,4.8,
10/14/21,3:37,7:20,3.71,
10/13/21,12:43,14:33,1.84,
10/13/21,4:02,6:53,2.85,
10/12/21,11:49,14:06,2.28,
10/12/21,4:54,9:38,4.73,
10/11/21,2:36,9:58,7.36,
10/10/21,10:12,13:49,3.61,
10/10/21,4:25,9:03,4.63,
10/09/21,9:55,13:09,3.23,
10/09/21,3:00,9:48,6.79,
10/09/21,1:43,2:35,0.86,
10/08/21,5:07,9:22,4.24,
10/08/21,0:35,4:59,4.4,
10/07/21,14:41,16:36,1.91,
10/07/21,13:37,14:40,1.05,
10/07/21,0:30,8:25,7.91,
10/06/21,2:36,9:04,6.45,
10/05/21,0:27,7:01,6.56,
10/04/21,6:08,10:54,4.76,
10/04/21,20:49,3:53,7.06,
10/03/21,5:43,9:00,3.28,
10/03/21,22:09,3:27,5.3,
10/02/21,4:40,4:53,0.21,
10/02/21,3:04,4:40,1.58,
10/02/21,0:40,3:04,2.39,
10/02/21,19:09,0:35,5.44,
10/01/21,5:49,5:49,3.88,
10/01/21,20:06,0:34,4.47,
09/30/21,23:57,0:01,0.07,
09/29/21,18:06,23:56,5.83,
09/28/21,19:14,23:37,4.38,
09/28/21,22:57,1:49,2.85,
09/27/21,21:38,21:55,0.28,
09/27/21,11:54,18:41,6.77,
09/27/21,1:00,2:40,1.66,
09/26/21,10:23,18:25,8.03,
09/25/21,11:40,17:52,6.21,
09/24/21,13:49,16:00,2.19,
09/24/21,9:24,13:47,4.38,
09/24/21,6:43,9:18,2.59,
09/24/21,2:36,2:54,0.28,
09/23/21,9:31,14:40,5.15,
09/23/21,7:38,9:30,1.86,
09/22/21,9:35,14:02,4.44,
09/22/21,4:39,9:31,4.87,
09/21/21,9:11,13:55,4.72,
09/20/21,20:04,20:36,0.52,
09/20/21,17:41,20:00,2.33,
09/20/21,8:22,12:57,4.57,
09/20/21,1:29,6:31,5.02,
09/19/21,8:03,13:23,5.32,
09/19/21,3:19,7:58,4.64,
09/18/21,5:15,11:11,5.91,
09/17/21,7:59,11:07,3.12,
09/17/21,4:00,7:59,3.98,
09/16/21,0:56,7:34,6.63,
09/15/21,4:40,8:58,4.29,
09/14/21,22:52,8:21,9.49,
09/13/21,7:11,11:06,3.92,
09/13/21,3:45,7:08,3.38,
09/12/21,0:39,8:18,7.64,
09/11/21,22:05,6:06,8.01,
09/10/21,18:40,2:16,7.6,
09/09/21,23:47,4:17,4.5,
09/08/21,21:50,23:44,1.9,
09/06/21,14:13,22:32,8.31,
09/05/21,11:55,19:52,7.95,
09/04/21,10:10,19:01,8.85,
09/03/21,8:22,16:22,8,
09/03/21,23:40,1:11,1.51,
09/02/21,10:04,16:35,6.51,
09/01/21,7:54,16:41,8.77,
08/31/21,10:02,12:22,2.33,
08/31/21,4:55,10:02,5.11,
08/30/21,12:32,15:05,2.55,
08/30/21,11:54,12:32,0.63,
08/30/21,4:22,11:43,7.35,
08/29/21,11:13,12:50,1.61,
08/29/21,4:55,11:12,6.27,
08/28/21,10:04,13:53,3.82,
08/28/21,3:18,9:57,6.65,
08/28/21,3:18,3:18,3.45,
08/27/21,1:39,10:23,8.73,
08/26/21,2:11,9:36,7.4,
08/25/21,3:06,7:25,4.31,
08/25/21,22:34,2:41,4.1,
08/24/21,19:30,6:15,10.7,
08/23/21,5:24,6:26,1.04,
08/23/21,22:42,5:23,6.69,
08/22/21,20:51,4:18,7.44,
08/21/21,16:46,0:53,8.11,
08/19/21,15:40,22:05,6.41,
08/19/21,14:39,14:50,0.18,
08/18/21,20:30,21:51,1.35,
08/18/21,10:20,17:04,6.73,
08/17/21,15:13,17:44,2.52,
08/17/21,9:42,15:12,5.48,
08/16/21,13:56,16:53,2.94,
08/16/21,6:29,13:47,7.3,
08/15/21,10:42,16:29,5.77,
08/15/21,22:29,0:57,2.46,
08/14/21,11:31,14:17,2.76,
08/14/21,6:32,11:30,4.96,
08/13/21,15:27,19:06,3.65,
08/13/21,6:33,10:47,4.23,
08/12/21,6:18,13:30,7.2,
08/11/21,5:43,14:04,8.34,
08/10/21,6:20,13:23,7.05,
08/09/21,11:52,15:45,3.88,
08/09/21,2:28,10:05,7.61,
08/08/21,3:34,11:44,8.16,
08/07/21,2:05,10:11,8.11,
08/06/21,9:08,11:43,2.58,
08/06/21,3:41,9:05,5.4,
08/05/21,10:01,11:55,1.9,
08/05/21,7:22,10:00,2.62,
08/05/21,2:56,7:22,4.42,
08/04/21,12:02,13:30,1.46,
08/04/21,3:23,10:24,7.01,
08/03/21,1:52,10:58,9.1,
08/02/21,7:56,10:08,2.19,
08/02/21,0:55,7:55,6.99,
08/01/21,15:40,19:10,3.5,
08/01/21,9:22,11:49,2.45,
08/01/21,23:51,8:12,8.34,
07/31/21,22:47,22:47,0,
07/31/21,0:28,6:01,5.54,
07/30/21,2:22,10:27,8.09,
07/29/21,1:41,7:57,6.27,
07/28/21,6:32,8:42,2.16,
07/28/21,4:23,4:57,0.56,
07/28/21,18:42,4:22,9.67,
07/27/21,1:55,4:21,2.43,
07/26/21,2:17,6:33,4.26,
07/26/21,21:54,0:51,2.95,
07/25/21,4:00,8:00,4,
07/25/21,21:00,3:09,6.15,
07/24/21,20:18,4:05,7.77,
07/22/21,21:34,23:15,1.67,
07/22/21,16:04,21:13,5.16,
07/22/21,22:09,0:01,1.86,
07/21/21,15:51,22:07,6.25,
07/20/21,20:07,20:34,0.45,
07/20/21,13:20,20:07,6.77,
07/19/21,17:37,19:51,2.23,
07/19/21,10:47,17:35,6.79,
07/18/21,10:17,18:25,8.13,
07/17/21,13:41,17:19,3.62,
07/17/21,9:23,13:40,4.29,
07/16/21,16:00,17:54,1.9,
07/16/21,10:52,16:00,5.12,
07/15/21,6:58,15:22,8.39,
07/14/21,7:17,15:33,8.26,
07/13/21,6:40,13:56,7.25,
07/12/21,5:54,14:41,8.77,
07/11/21,12:14,13:45,1.51,
07/11/21,3:24,12:14,8.82,
07/10/21,5:54,12:50,6.93,
07/09/21,3:52,11:12,7.33,
07/08/21,5:05,12:19,7.23,
07/07/21,1:33,11:11,9.63,
07/06/21,2:33,10:49,8.26,
07/05/21,2:57,10:01,7.06,
07/04/21,2:28,8:03,5.58,
07/03/21,18:36,18:59,0.37,
07/03/21,17:06,18:28,1.36,
07/03/21,7:01,8:08,1.13,
07/03/21,4:14,7:00,2.78,
07/03/21,22:45,4:13,5.47,
07/02/21,6:45,8:46,2.01,
07/02/21,2:15,6:55,4.66,
07/01/21,4:26,7:17,2.84,
